x,y,z,lp_x,lp_y,lp_z,hp_x,hp_y,hp_z
-3.210714087,1.161630423,,,,,,,
0.65979916,1.123017384,0.441695021,,,,,,
-0.984546582,-1.812845255,-0.913280536,,,,,,
0.175065839,-0.240272475,0.879748973,,,,,,
0.789864175,0.819215798,-0.002613216,,,,,,
0.187237301,-0.082592189,-0.087970027,,,,,,
-0.236437484,0.743632885,-1.143940897,,,,,,
1.473870096,-0.349764268,0.216483609,,,,,,
1.124983421,-0.554763388,0.021881302,,,,,,
0.361074068,0.264698948,0.711074504,,,,,,
-1.773048919,-3.53360789,,,,,,,
0.188877843,0.042350392,-1.407078428,,,,,,
-1.156517258,-1.017759393,-1.192420016,,,,,,
1.767195026,0.159001684,,,,,,,
0.791653385,0.237258209,-0.57159066,,,,,,
0.889897042,0.957856076,-1.197114869,,,,,,
-1.362818542,-0.427472763,1.155085399,,,,,,
0.778580545,1.45350213,0.852912513,,,,,,
0.132138537,0.15540242,-0.491020739,,,,,,
-0.498802562,0.089098175,-0.700809235,,,,,,
0.30543481,1.286966933,0.040859095,,,,,,
0.724231942,0.415521332,0.438782123,,,,,,
0.733271865,-0.211538683,-0.252616403,,,,,,
0.222933961,0.480897395,-0.1917167,,,,,,
0.260516509,-0.380852347,0.415802044,,,,,,
0.540537414,0.393159105,0.813653829,,,,,,
1.261537127,0.691296504,,,,,,,
-0.263055409,-2.341031847,,,,,,,
1.528812179,0.640629531,0.75401507,,,,,,
0.051572361,0.590528338,-0.488288784,,,,,,
1.415564163,0.457188297,0.019554677,,,,,,
0.411501557,0.671051175,0.155911273,,,,,,
0.139164801,1.06326753,1.307909979,,,,,,
0.625184889,-1.236477167,0.097472845,,,,,,
-3.244886987,0.041537688,1.275331518,,,,,,
1.455603209,0.596208042,0.695235479,,,,,,
1.968243661,0.278627781,-1.091553742,,,,,,
0.249144785,-0.837254687,-0.332730084,,,,,,
0.592221314,-0.511006707,-0.929159498,,,,,,
-0.748293124,0.048480113,0.610110259,,,,,,
-0.086731097,-0.478830654,1.043348721,,,,,,
0.513487249,0.453998419,0.424134234,,,,,,
0.51862252,0.868105748,1.393328257,,,,,,
-0.503932104,0.330921266,0.512432183,,,,,,
2.440922796,1.032282975,0.769964223,,,,,,
-2.037817391,1.199673019,1.224391598,,,,,,
1.738302225,0.225875783,0.379360533,,,,,,
0.649932185,0.555352624,0.418636751,,,,,,
1.121188901,1.245086461,1.416555551,,,,,,
-0.151075985,1.311508492,2.021520706,,,,,,
1.332907371,0.961753117,0.828506151,,,,,,
-0.630801786,-0.132612531,0.59930388,,,,,,
1.596401816,1.665426694,,,,,,,
-1.103549865,-1.725384378,-0.663797806,,,,,,
-0.142058379,-1.156102657,1.260212906,,,,,,
0.326650264,0.258317478,-0.05827683,,,,,,
0.017905834,-0.379327191,0.71511537,,,,,,
0.168317466,-0.650278727,-0.327988542,,,,,,
1.773355605,0.518458742,,,,,,,
-0.738971617,0.826767757,,,,,,,
0.487685455,-0.283132952,-1.967621492,,,,,,
0.917976123,1.63976047,-0.175610671,,,,,,
0.988591232,0.087068294,-0.195775939,,,,,,
0.421538643,-0.235754742,,,,,,,
-0.048590979,0.749831536,0.833040093,,,,,,
0.761612659,-0.17262204,0.392625052,,,,,,
-0.638639954,-1.48733728,0.213519299,,,,,,
-0.747677919,-1.086390534,0.145983198,,,,,,
-0.030356369,0.225834441,0.704598171,,,,,,
0.40826278,0.167298778,0.194336443,,,,,,
-0.633971616,-1.151866217,1.064904757,,,,,,
-0.520637358,-3.003197342,-0.930886648,,,,,,
-0.325491203,1.525639613,0.362082574,,,,,,
-1.116191572,-1.54937193,-0.461902232,,,,,,
-0.117401733,-0.580646061,0.509699817,,,,,,
-1.19993787,1.37107836,0.261101607,,,,,,
-1.623878321,-0.859594034,-0.67629899,,,,,,
1.087781101,0.775356731,0.992579881,,,,,,
0.398801198,0.134708572,-1.263735248,,,,,,
0.544315948,0.397486321,-0.373711368,,,,,,
0.213977665,1.32554059,,,,,,,
-0.409141672,-0.492721659,0.212914278,,,,,,
0.778065386,0.826555258,0.198374807,,,,,,
0.474882026,-1.239683433,-0.407621533,,,,,,
-1.187777341,0.001553391,1.458133975,,,,,,
0.136963329,0.470712079,-1.318458156,,,,,,
1.39636658,0.899484727,-0.485650338,,,,,,
0.192057787,-2.532817558,-2.02960778,,,,,,
0.393282437,0.126930947,-0.393916636,,,,,,
0.280594713,0.588224643,0.228578302,,,,,,
0.27392437,1.012626655,,,,,,,
0.471439097,-0.634577101,-2.103783221,,,,,,
1.219202443,0.582548459,,,,,,,
-2.08555168,0.010070271,,,,,,,
0.362493601,0.548689862,,,,,,,
-1.568336937,-2.264076027,,,,,,,
-0.233645523,0.160884396,,,,,,,
0.878382175,1.295288602,,,,,,,
-0.082574574,2.043986371,0.666359014,,,,,,
0.193527459,0.475655034,0.150096084,,,,,,
-1.128551723,1.560913935,,,,,,,
0.267932234,0.121978136,0.706402853,,,,,,
-0.077788446,0.227353565,-0.743457069,,,,,,
1.105148936,0.916411729,1.310949694,,,,,,
0.403137605,0.483670732,1.755434584,,,,,,
-1.158920416,-0.34151586,0.961117432,,,,,,
0.306544349,1.642258852,1.59900959,,,,,,
0.511902553,0.505015775,0.30457175,,,,,,
-1.287761225,-0.547212242,-1.044699171,,,,,,
-0.385862951,-0.800015982,,,,,,,
-0.093639384,0.858402347,,,,,,,
0.526719846,0.593252678,-0.319035653,,,,,,
